m;tree;Lowpoly_tree_sample_triangulated.obj;Lowpoly_tree_texture.png
m;floor;plane.obj;chessboard.png
e;floor;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;1.0,1.0,1.0;
e;tree;-900.0,0.0,900.0;0.0,0.0,0.0;0.0,5.967571,0.0;1.8695178,1.8695178,1.8695178;
e;tree;-870.0,0.0,900.0;0.0,0.0,0.0;0.0,0.032010943,0.0;2.08818,2.08818,2.08818;
e;tree;-840.0,0.0,900.0;0.0,0.0,0.0;0.0,5.973448,0.0;1.5476456,1.5476456,1.5476456;
e;tree;-810.0,0.0,900.0;0.0,0.0,0.0;0.0,0.057213023,0.0;1.9594214,1.9594214,1.9594214;
e;tree;-780.0,0.0,900.0;0.0,0.0,0.0;0.0,4.9919767,0.0;0.8947427,0.8947427,0.8947427;
e;tree;-750.0,0.0,900.0;0.0,0.0,0.0;0.0,2.720423,0.0;1.5529269,1.5529269,1.5529269;
e;tree;-720.0,0.0,900.0;0.0,0.0,0.0;0.0,0.80748975,0.0;0.7468783,0.7468783,0.7468783;
e;tree;-690.0,0.0,900.0;0.0,0.0,0.0;0.0,2.7731247,0.0;0.74834466,0.74834466,0.74834466;
e;tree;-660.0,0.0,900.0;0.0,0.0,0.0;0.0,5.796223,0.0;0.36038682,0.36038682,0.36038682;
e;tree;-630.0,0.0,900.0;0.0,0.0,0.0;0.0,2.359799,0.0;0.53021157,0.53021157,0.53021157;
e;tree;-600.0,0.0,900.0;0.0,0.0,0.0;0.0,3.1172183,0.0;1.983981,1.983981,1.983981;
e;tree;-570.0,0.0,900.0;0.0,0.0,0.0;0.0,6.0500417,0.0;0.2896582,0.2896582,0.2896582;
e;tree;-540.0,0.0,900.0;0.0,0.0,0.0;0.0,5.399372,0.0;0.9988292,0.9988292,0.9988292;
e;tree;-510.0,0.0,900.0;0.0,0.0,0.0;0.0,0.692952,0.0;2.179461,2.179461,2.179461;
e;tree;-480.0,0.0,900.0;0.0,0.0,0.0;0.0,0.59380364,0.0;0.8556618,0.8556618,0.8556618;
e;tree;-450.0,0.0,900.0;0.0,0.0,0.0;0.0,4.984484,0.0;0.27591833,0.27591833,0.27591833;
e;tree;-420.0,0.0,900.0;0.0,0.0,0.0;0.0,2.863019,0.0;1.2274257,1.2274257,1.2274257;
e;tree;-390.0,0.0,900.0;0.0,0.0,0.0;0.0,2.4367793,0.0;2.021737,2.021737,2.021737;
e;tree;-360.0,0.0,900.0;0.0,0.0,0.0;0.0,5.2638183,0.0;0.5479569,0.5479569,0.5479569;
e;tree;-330.0,0.0,900.0;0.0,0.0,0.0;0.0,1.0083463,0.0;1.7073097,1.7073097,1.7073097;
e;tree;-300.0,0.0,900.0;0.0,0.0,0.0;0.0,1.7440404,0.0;0.421597,0.421597,0.421597;
e;tree;-270.0,0.0,900.0;0.0,0.0,0.0;0.0,3.349429,0.0;0.593473,0.593473,0.593473;
e;tree;-240.0,0.0,900.0;0.0,0.0,0.0;0.0,1.1805921,0.0;1.2656295,1.2656295,1.2656295;
e;tree;-210.0,0.0,900.0;0.0,0.0,0.0;0.0,1.0484709,0.0;1.6870419,1.6870419,1.6870419;
e;tree;-180.0,0.0,900.0;0.0,0.0,0.0;0.0,0.6164197,0.0;1.9868678,1.9868678,1.9868678;
e;tree;-150.0,0.0,900.0;0.0,0.0,0.0;0.0,5.495334,0.0;1.151108,1.151108,1.151108;
e;tree;-120.0,0.0,900.0;0.0,0.0,0.0;0.0,4.878883,0.0;1.4956766,1.4956766,1.4956766;
e;tree;-90.0,0.0,900.0;0.0,0.0,0.0;0.0,5.4118505,0.0;0.86530566,0.86530566,0.86530566;
